Armenian,Phonetic (Latin)
սաղմոս,saghmos
սաղմոսք,saghmosk
սեղանոյ,séghano
սեղանոյս,séghanooys
սըմա,sûma
սըրբաբան,sûrpapan
սըրբազան,arkébisgobosi
սըրբոյ,sûrpo
սըրբոց,mindful
սըրբութեամբ,sûrpootyamp
սըրբութեան,sûrpootyan
սըրբութիւն,sûrpootyoon
սմանէ,sûmané
սովաւ,sovav
սորա,sora
սուրբ,soorp
սուրբըս,soorpûs
սուրբս,soorpûs
սուրբսըն,soorpsûn
ստեղծեր։,sdéghdzér
ստեղծող,sdéghdzogh
սրբազան,arkebisg
սրբազնագոյն,gatogh
սրբոց,sûrpots
սրբութեամբ,sûrpootyamp
սրբուհւոյ,sûrpoohvo
սրովբէքն,srovpékn
սրտիւք,sûrdyook
վախճան,vakhjan
վայել,vayélé
վասըն,vasûn
վասն,vasûn
վեր,vér
վերայ,véra
վերերգել,vérérkél
վերին,vérin
վիճակիս,paréchan
տաqարիս,dajaris
տաճարս,dajarûs
տայ,da
տանիր,mi
տացէ,Datsé
տեառըն,ays
տեղւոյս,déghvooys
տեսէք,désék
տէր,O
տնօրէնութիւնս,dûnorénootyoonûs
տուր,door
տուք,dook
տօնացուցի,donatsootsi
ցօղէ,tsoghé
փառաբանութիւն,parapanootyoon
փառաւորակից,aghachéstsook
փառաւորեմք,paravorémk
փառք,ishkhanootyoon
փառքդ,parkût
փառօք,parok
փըրկեա,ayl
փըրկեալ,pûrgyal
փըրկեսցէ,pûrgéstsé
փըրկութիւն,pûrgootyoon
փորձութիւն,i
փրկիչ,pûrgich
փրկչին,pûrgchin
քահանայ,kahanayits
քահանայիս,vor
քաղաք,kaghak
քաղցր,kaghtsr
քաղցրութեամբ,kaghtsrootyamp
քան,kan
քանզի,Kanzi
քարոզեաց,karozyats
քաւեա,kavya
քաւութիւն,kavootyoon
քեզ,kéz
քերովբէականս,kérovpéyagans
քէն,kén
քո,ko
քոյից,koyits
քով,kov
քոց,kots
քում,koom
քրիստոնէից,hayrabédootyan
օգնական,and
օրթի,with
օրինաց,orinats
օրհնեա,orhnya
օրհնեալ,orhnyal
օրհնեմք,orhnémk
օրհնեցէք,orhnétsék
օրհնութիւնք,orhnootyoonk
