Armenian,Phonetic (Latin)
բարձեալ,partsyal
բարձունըս,partsoonûs
բարութեանց,parootyants
բեկեալ,pégyal
բերան,péran
բնակարանըս,pnagaranûs
բնակեցաւ,pnagétsav
գալոց,kalots
գառինն,Kareenn
գառն,Karen
գաս,kas
գերապանծ,kérabandz
գըթացեալ,kûtatsyal
գթութիւնդ,kûtootyoont
գիրսն,kirsûn
գոլով,kolov
գոհանամք,kohanamk
գոհութեամբ,kohootyamp
գոհութիւն,kohootyoon
գործեալ,kordzyal
գործելոյ,kordzélo
գործեն,kordzén
գործով,kordzov
դասաւորեալ,tasavoryal
դասուն,tasoon
դատ,Tad
դատաստանըն,tadasdanûn
դատաստանի,Tadasdani
դատաւոր,tadavor
դատել,tadél
դըպիրք,tûbirk
դու,too
դպր,chr
դրախտին,trakhdin
դրունս,troons
եդեմական,yétémagan
ելեալ,yélyal
ելէք,yélék
եկայք,yégayk
եկեղեցեաց,yégéghétsyats
եկեղեցեաւս,yégéghétsyavs
եկեղեցի,yégéghétsi
եկեղեցւոյ,yégéghétsvo
եկեսցէ,yégéstsé
եղբարք,yéghpark
եղիաս,yéghiyas
եղիցի,yéghitsi
եմ,ém
են,én
ենովք,yénovk
եպիսկոպոս,yebisgobos
ես,Yés
ետուր,yédoor
երգել,yérkél
երգըք,yérkûk
երգովք,yérkovk
երկայն,Yergayn
երկիր,Yergir
երկիրպագանեմք,yérgirbakanémk
երկիրպագանեն,yérgirbakanén
երկիւղածութեամբ,yergyughatsoutyamp
երկիւղիւ,yérgyooghiv
երկնային,yérgnayin
երկնաւոր,yérgnavor
երկնաւորըդ,yérgnavorût
երկնից,yérgnits
երկրպագուս,yérgûrbakoos
երուսաղէմ,yéroosaghém
երրեակ,yérryag
երրորդութեանդ,yérrortootyanût
երրորդութենէն,Yerorutenen
եւ,yév
եւըս,Yeves
եւս,yévûs
զwառակցի,zparagtsi
զաղաչանս,zaghachanûs
զամենայն,zaménayn
զառաջակայ,zarachaga
զաստուածածինըն,zasdvadzadzinûn
զարարածըս,zararadzûs
զարդարեցեր,zartarétsér
զարիւն,zaryoon
զարիւնդ,zaryoont
զաւետարանն,zavédaranûn
զբանս,ûzpans
զբարիս,ûzparis
զգթութիւն,ûzkûtootyoon
զդասըս,ztasûs
զեկեղեցի,zégéghétsi
զեպիսկոպոսապետն,zébisgobosabédûn
զերգըս,zérkûs
զերգս,zérks
զերկըրպագուս,zérgûrbakoos
զըղձալի,zûghtsali
զթողութիւն,ûztoghootyoon
զժառանգութիւնս,ûzzharankootyoonûs
զժողովուրդս,ûzzhoghovoortûs
զի,zi
զինուորեալ,Zinvoryal
զլրումն,ûzlûroomûn
զխաղաղութիւն,zkhaghaghootyoon
զխորհուրդ,zkhorhoort
զհաստատութիւն,zhasdadootyoon
զհաց,hérgri
զհոգիս,zhokis
զհրաշալի,ûzhrashali
զձեզ,ûztséz
զճաշու,ûzjashoo
զմարմին,zmarmin
զմեզ,zméz
զմեղս,ûzméghûs
զյաղթող,ûzhaghtogh
զյարութիւնդ,ûzharootyoonût
զողորմութիւն,zoghormootyoon
զոր,zor
զորդիդ,zortit
զորս,zors
զպատուական,ûzbadvagan
զսուրբ,ûzsoorp
զվերին,zvérin
զտէր,Uzder
զցասումն,ûztsasoomûn
զփառս,ûzparûs
զքեզ,zkéz
զօրհնութիւն,zorhnootyoon
զօրութեանց,zorootyants
զօրսն,zorsûn
է,é
էջն,échn
էք,ék
ըզբերանըս,ûzpéranûs
ըզլոյս,ûzlooys
ըզկենդանիս,ûzgéntanis
ըզհոգեւոր,ûzhokévor
ըզձայն,ûztsayn
ըզմարմին,ûzmarmin
ըզմարմինդ,ûzmarmint
ըզմեզ,ûzméz
ըզմեռեալս,ûzméryals
ըզպատարագըս,madootsané
ըզպարտիս,Ezbardis
ըզսա,ûzsa
ըզսէր,ûzsér
ըզտէր,ûzdér
ըզքեզ,ûzkéz
ըզքէն,ûzkén
ընդ,ûnt
ընդհանրական,ûnthanragan
ընդունիլ,ûntoonil
ընթեռնու,ûntérnoo
ընթեռնուն,ûntérnoon
ընկալ,ûngal
ըստ,ûsd
թագաւոր,takavor
թագաւորաց,krisdonéyits
թագաւորիս,takavoris
թագաւորութեանըն,takavorootyanûn
թերահաւատից,térahavadits
թող,togh
թողութիւն,toghootyoon
թողումք,Toghoonk
թողցէ,toghtsé
ժամանակ,zhamanag
ժողովին,zhoghovin
ժողովուրդս,zhoghovoortûs
ժողովուրդք,zhoghovoortk
ի,i
իմ,im
իմում,Imoom
ինձ,Intz
իշխանութիւն,ishkhanootyoon
իջեալ,ichyal
իրաւ,Irav
իւր,yoor
իւրոյ,yooro
իւրով,yoorov
լացուք,latsook
լեր,ler
լըցաք,lûtsak
լըցեր,lûtsér
լըւարուք,Luvatzarook
լից,lits
լոյս,looys
լուսոյ,looso
լուսոյն,loosooyn
լուր,loor
խաղաղութեամբ,khaghaghootyamp
խաղաղութեան,Khaghaghooyan
խնդրեցէք,khûntrétsék
խոնարհեալ,khonarhyal
խոստովանիմ,khosdovanim
խորին,khorin
խորհըրդով,khorhûrtov
խորհուրդ,khorhoort
խորհուրդս,khorhoorts
խորհրդականաւ,khorhûrtaganav
խորհրդոյս,khorhûrtooys
խօսեցաւ,khosétsav
ծառայեցէք,Dzarayertzek
ծառայից,dzarayits
ծերացեալ,dzératsyal
ծընեալն,dzûnyaln
ծընունդ,dzûnoont
ծնին,Dznin
ծնողի,dzûnoghi
կաթ,Gat
կամեցեալ,gamétsyal
կամք,yéghitsin
կան,gan
կառս,garûs
կատարեալն,gadaryaln
կատարես,gadarés
կատարումն,gadaroomn
կարդալ,gartal
կարողութիւնդ,garoghootyoonût
կարողք,garoghk
կեանս,gyanûs
կեանսըն,gyansûn
կեանք,gyank
կենաց,génats
կենդանեաց,géntanyats
կենդանութեան,géntanootyan
կերակուր,géragoor
կերակրես,géragrés
կերակրեցեր,géragrétsér
կերակրողիդ,géragroghit
կերէք,gérék
կեցո,gétso
կեցուսցէ,gétsoostsé
կիլիկիոյ,giligyo
հաղորդեցարուք,haghortétsarook
հաղորդիլ,haghortil
հաճեցար,hajétsar
համարձակաձայն,hamartsagatsayn
համբոյր,hampooyr
հայոց,Haytotz
հայր,hayr
հայրակամ,hayragam
հայրապետն,hayrabédn
հայրապետութեան,hayrabédootyan
հայցեմք,haytsémk
հանապազ,hanabaz
հանապազորդ,Hanabazort
հանգանակ,Hankanag
հանգիստ,hankisd
հանգո,hanko
հանգուցելոց,hankootsélots
հանդերձ,hantérts
հանրապետութեան,Hanrabedutian
հաշտութիւն,hashdootyoon
հաս,Has
հարք,hark
հաց,hats
հաւասարեա,havasarya
հաւատամք,havadamk
հաւատացելոց,havadatzelots
հաւատով,havadov
հեղանի,héghani
հեղմամբ,héghmamp
հզօրն,hûzorûn
հոգեւորս,hokévors
հոգեւորք,hokévork
հոգի,hoki
հոգիդ,hokit
հոգին,hokin
հոգւոյդ,Hokvooyt
հոգւոյն,hokvooyn
հոգւով,hokvov
հոգւովդ,hokvovût
հոգւոց,hokvots
հոգւոցըն,hokvotsûn
հոգւոցն,hokvotzn
հրեղինաց,hréghinats
հրեշտակաց,hréshdagats
հօտի,hodi
հօր,hor
հօրէ,horé
ձայնիւ,tsayniv
ձեռըն,tsérûn
ձեռօք,tsérok
ձեր,tsér
ճաշակելով,jashagélov
ճաշակեսցուք,jashagéstsook
ճաշակեցէք,jashagétsék
ճշմարիտ,jûshmarid
ճշմարտէ,jûshmardé
ճշմարտութեամբ,jûshmardootyamp
մահ,mah
մանկանց,Mangantz
մատիք,madik
մատուցանեմք,madootsanémk
մատչի,khaghaghootyoon
մարգարէից,markaréyits
մարգարէս,markarés
մարդասէր,martasér
մարդասէրն,martasérn
մարդասիրութեանդ,martasirootyanût
մարդիկ,martig
մարդկանէ,martgané
մարմին,marmin
մարմնոյ,marmno
մարմնովն,marmnovn
մարմնոց,marmnots
մեզ,méz
մեծի,danûn
մեղայ,mégha
մեղաց,méghats
մեղաւորացս,méghavoratsûs
մեղուցեալ,méghootsyal
մեղս,méghûs
մեղօք,méghok
մեռելոց,mérélots
մեր,mér
մերձեսցի,mértséstsi
մերձեցելոցս,mértsétsélotsûs
մերոյ,méro
մերոց,mérots
մերում,méroom
մեք,Mek
մէնջ,ménch
մէջ,méch
մըկըրտութիւն,mûgûrdootyoon
մի,mi
միածին,miyadzin
միածնի,miyadzni
միայն,miyayn
միանձնացելոց,Miyantznatzelotz
միասնական,miyasnagan
միացեալ,Miyatzyal
միմեանց,mimyants
մինըդ,Minet
մինչեւ,minchév
միշտ,mishd
միջի,michi
միտս,midûs
յաղագս,haghakûs
յամենայն,haménayn
յայսըմհետէ,haysûmhédé
յանդատապարտութիւն,hantadabardootyoon
յանեղն,hanéghn
յանէից,hanéyits
յանմահական,hanmahagan
յանմաքրից,hanmakrits
յանցանաց,hantsanats
յանցանս,hantsanûs
յապաշխարողաց,habashkharoghats
յապաշխարութիւն,habashkharootyoon
յաջակողմեան,hachagoghmyan
յառագաստ,harakasd
յառաջ,harach
յառաքեալսըն,harakyalsûn
յաստուածային,hasdvadzayin
յաստուծոյ,hasdoodzo
յարենէ,haréné
յարութիւն,harootyoon
յարքայութիւնըն,harkayootyoonûn
յաւետարանս,havédarans
յաւիտեան,havidyan
յաւիտեանս,havidyanes
յաւիտենականըս,havidénaganûs
յաւիտենից,havidénits
յերախայից,hérakhayits
յերկինըս,hérginûs
յերկինս,hérgins
յերկնից,hérgnits
յերկրի,Hergri
յերուսաղէմ,héroosaghém
յէութենէ,héyooténé
յիշատակ,Heshadag
յիշեսջիր,hishyal
յիսուս,hisoos
յիսուսի,hisoosi
յոյս,hooys
յորդանան,hortanan
յորդին,hortin
յորժամ,horzham
յորում,horoom
յուսով,hoosov
յօգնութիւն,Hoknotyûn
յօրէնըս,horénûs
նահանգացն,Nahankatzn
նայեաց,nayyats
ներեա,nérya
նընջեցեալսըն,nûnchétsyalsûn
նընջեցելոց,nûnchétsélots
նըստաւ,nûsdav
նիկիական,Nigyagan
նմա,nma
ննջեցելոցն,nûnchétsélotsn
նշանացս,nûshanatsûs
նոսին,nosin
նովին,novin
նորա,nora
նորոյ,noro
նոցա,Notza
նստի,nûsdi
շնորհեա,shnorhya
շնորհեսցես,Shnorhetse
շնորհիւ,shnorhiv
շնորհօք,shnorhok
ողորմած,voghormadz
ողորմածն,voghormadzûn
ողորմեա,voghormya
ողորմեսցի,voghorméstsi
ողորմութեան,voghormootyan
ողորմութիւն,voghormootyoon
ողորմութիւնդ,voghormootyoonût
ողջոյն,vogchooyn
ոչ,voch
որ,vor
որդի,vorti
որդիդ,vortit
որդւոյ,vortvo
որոյ,voro
որում,voroom
որպէսզի,vorbészi
որք,vork
ուխտի,ookhdi
ուղիղ,vartabédootyamp
ուղղեսցէ,ooghghéstsé
ուր,oor
ուրախութեամբ,Oorakhootyamp
ոք,vok
չարէ,charé
պահեա,bahya
պայծառացեալ,baydzaratsyal
պայծառացո,baydzaratso
պաշտեն,bashdén
պաշտօնեայք,bashdonyayk
պատարագ,Badarak
պատարագեալ,badarakyal
պատարագիս,badarakis
պատիւ,Badiv
պատուական,badvagan
պատուհասի,badoohasi
պարգեւեա,barkévya
պարգեւեսցես,barkévéstsés
պարտապան,bardaban
պարտապանաց,Bardabanatz
պարտեաց,bardyats
պետութիւնդ,bédootyoont
պըսակիչդ,bûsagicht
սա,sa
սաղմոս,saghmos
սաղմոսք,saghmosk
սեղանոյ,séghano
սեղանոյս,séghanooys
սըմա,sûma
սըրբաբան,sûrpapan
սըրբազան,arkébisgobosi
սըրբոյ,sûrpo
սըրբոց,Surpotz
սըրբութեամբ,sûrpootyamp
սըրբութեան,sûrpootyan
սըրբութիւն,sûrpootyoon
սմանէ,smané
սովաւ,sovav
սորա,sora
սուրբ,soorp
սուրբըս,soorpûs
սուրբս,soorps
սուրբսըն,soorpsûn
ստեղծեր,sdéghdzér
ստեղծող,sdéghdzogh
սրբազան,arkebisg
սրբազնագոյն,Serpaznakyun
սրբոյ,srpo
սրբով,sûrpov
սրբոց,sûrpots
սրբութեամբ,srpootyamp
սրբուհւոյ,sûrpoohvo
սրովբէքն,srovpékn
սրտիւք,sûrdyook
վախճան,vakhjan
վայել,vayélé
վասըն,vasûn
վասն,vasn
վեր,vér
վերայ,véra
վերերգել,vérérkél
վերին,vérin
վիճակիս,Vejagis
տաճարիս,dajaris
տաճարս,dajarûs
տայ,da
տանիր,danir
տանն,Dann
տացէ,datsé
տեառն,dyarn
տեղւոյս,déghvooys
տեսէք,désék
տէր,dér
տէրը,deru
տնօրէնութիւնս,dûnorénootyoonûs
տուր,door
տուք,dook
տօնացուցի,donatsootsi
ցօղէ,tsoghé
փառաբանութիւն,parapanootyoon
փառաւորակից,Paravoragits
փառաւորեմք,paravorémk
փառս,pars
փառք,park
փառքդ,parkût
փառօք,parok
փըրկեա,Pûrgaya
փըրկեալ,pûrgyal
փըրկեսցէ,pûrgéstsé
փըրկութիւն,pûrgootyoon
փորձութիւն,Portzootyoon
փրկիչ,pûrgich
փրկչին,pûrgchin
քահանայ,kahana
քահանայիս,Kahanayis
քահանայք,kahanayk
քաղաք,kaghak
քաղցր,kaghtsr
քաղցրութեամբ,kaghtsrootyamp
քան,kan
քանզի,kanzi
քարոզեաց,karozyats
քաւեա,kavya
քաւութիւն,kavootyoon
քեզ,kéz
քերովբէականս,kérovpéyagans
քէն,kén
քո,ko
քոյից,koyits
քով,kov
քոց,kots
քում,Kum
քրիստոնէից,Krisdoneyitz
քրիստոս,krisdos
քրիստոսի,krisdosi
օգնական,Oknagan
օրթի,Orti
օրինաց,orinats
օրհնեա,Orhnya
օրհնեալ,orhnyal
օրհնեմք,orhnémk
օրհնեցէք,orhnétsék
օրհնութիւն,orhnootyoon
օրհնութիւնք,orhnootyoonk
